parent_id,child_id,relation_type
174,1962,mother
175,1963,father
176,1963,mother
177,1964,father
178,1964,mother
179,1965,father
180,1965,mother
181,1966,father
182,1966,mother
183,1967,father
184,1967,mother
185,1968,father
186,1968,mother
187,1969,father
188,1969,mother
189,1970,father
190,1970,mother
191,1971,father
192,1971,mother
193,1972,father
194,1972,mother
195,1973,father
196,1973,mother
197,1974,father
198,1974,mother
199,1975,father
200,1975,mother
201,1976,father
202,1976,mother
203,1977,father
204,1977,mother
205,1978,father
206,1978,mother
207,1979,father
208,1979,mother
209,1980,father
210,1980,mother
211,1981,father
212,1981,mother
213,1982,father
214,1982,mother
215,1983,father
216,1983,mother
217,1984,father
218,1984,mother
219,1985,father
220,1985,mother
221,1986,father
222,1986,mother
223,1987,father
224,1987,mother
225,1988,father
226,1988,mother
227,1989,father
228,1989,mother
229,1990,father
230,1990,mother
231,1991,father
232,1991,mother
233,1992,father
234,1992,mother
235,1993,father
236,1993,mother
237,1994,father
238,1994,mother
239,1995,father
240,1995,mother
241,1996,father
242,1996,mother
243,1997,father
244,1997,mother
245,1998,father
246,1998,mother
247,1999,father
248,1999,mother
249,2000,father
250,2000,mother
251,2001,father
252,2001,mother
253,2002,father
254,2002,mother
255,2003,father
256,2003,mother
257,2004,father
258,2004,mother
259,2005,father
260,2005,mother
261,2006,father
262,2006,mother
263,2007,father
264,2007,mother
265,2008,father
266,2008,mother
267,2009,father
268,2009,mother
269,2010,father
270,2010,mother
271,2011,father
272,2011,mother
273,2012,father
274,2012,mother
275,2013,father
276,2013,mother
277,2014,father
278,2014,mother
279,2015,father
280,2015,mother
281,2016,father
282,2016,mother
283,2017,father
284,2017,mother
285,2018,father
286,2018,mother
287,2019,father
288,2019,mother
289,2020,father
290,2020,mother
291,2021,father
292,2021,mother
293,2022,father
294,2022,mother
295,2023,father
296,2023,mother
297,2024,father
298,2024,mother
299,2025,father
300,2025,mother
301,2026,father
302,2026,mother
303,2027,father
304,2027,mother
305,2028,father
306,2028,mother
307,2029,father
308,2029,mother
309,2030,father
310,2030,mother
311,2031,father
312,2031,mother
313,2032,father
314,2032,mother
315,2033,father
316,2033,mother
317,2034,father
318,2034,mother
319,2035,father
320,2035,mother
321,2036,father
322,2036,mother
323,2037,father
324,2037,mother
325,2038,father
326,2038,mother
327,2039,father
328,2039,mother
329,2040,father
330,2040,mother
331,2041,father
332,2041,mother
333,2042,father
334,2042,mother
335,2043,father
336,2043,mother
337,2044,father
338,2044,mother
339,2045,father
340,2045,mother
341,2046,father
342,2046,mother
343,2047,father
344,2047,mother
345,2048,father
346,2048,mother
347,2049,father
348,2049,mother
349,2050,father
350,2050,mother
351,2051,father
352,2051,mother
353,2052,father
354,2052,mother
355,2053,father
356,2053,mother
357,2054,father
358,2054,mother
359,2055,father
360,2055,mother
361,2056,father
362,2056,mother
363,2057,father
364,2057,mother
365,2058,father
366,2058,mother
367,2059,father
368,2059,mother
369,2060,father
370,2060,mother
371,2061,father
372,2061,mother
373,2062,father
374,2062,mother
375,2063,father
376,2063,mother
377,2064,father
378,2064,mother
379,2065,father
380,2065,mother
381,2066,father
382,2066,mother
383,2067,father
384,2067,mother
385,2068,father
386,2068,mother
387,2069,father
388,2069,mother
389,2070,father
390,2070,mother
391,2071,father
392,2071,mother
393,2072,father
394,2072,mother
395,2073,father
396,2073,mother
397,2074,father
398,2074,mother
399,2075,father
400,2075,mother
401,2076,father
402,2076,mother
403,2077,father
404,2077,mother
405,2078,father
406,2078,mother
407,2079,father
408,2079,mother
409,2080,father
410,2080,mother
411,2081,father
412,2081,mother
413,2082,father
414,2082,mother
415,2083,father
416,2083,mother
417,2084,father
418,2084,mother
419,2085,father
420,2085,mother
421,2086,father
422,2086,mother
423,2087,father
424,2087,mother
425,2088,father
426,2088,mother
427,2089,father
428,2089,mother
429,2090,father
430,2090,mother
431,2091,father
432,2091,mother
433,2092,father
434,2092,mother
435,2093,father
436,2093,mother
437,2094,father
438,2094,mother
439,2095,father
440,2095,mother
441,2096,father
442,2096,mother
443,2097,father
444,2097,mother
445,2098,father
446,2098,mother
447,2099,father
448,2099,mother
449,2100,father
450,2100,mother
451,2101,father
452,2101,mother
453,2102,father
454,2102,mother
455,2103,father
456,2103,mother
457,2104,father
458,2104,mother
459,2105,father
460,2105,mother
461,2106,father
462,2106,mother
463,2107,father
464,2107,mother
465,2108,father
466,2108,mother
467,2109,father
468,2109,mother
469,2110,father
470,2110,mother
471,2111,father
472,2111,mother
473,2112,father
474,2112,mother
475,2113,father
476,2113,mother
477,2114,father
478,2114,mother
479,2115,father
480,2115,mother
481,2116,father
482,2116,mother
483,2117,father
484,2117,mother
485,2118,father
486,2118,mother
487,2119,father
488,2119,mother
489,2120,father
490,2120,mother
491,2121,father
492,2121,mother
493,2122,father
494,2122,mother
495,2123,father
496,2123,mother
497,2124,father
498,2124,mother
499,2125,father
500,2125,mother
501,2126,father
502,2126,mother
503,2127,father
504,2127,mother
505,2128,father
506,2128,mother
507,2129,father
508,2129,mother
509,2130,father
510,2130,mother
511,2131,father
512,2131,mother
513,2132,father
514,2132,mother
515,2133,father
516,2133,mother
517,2134,father
518,2134,mother
519,2135,father
520,2135,mother
521,2136,father
522,2136,mother
523,2137,father
524,2137,mother
525,2138,father
526,2138,mother
527,2139,father
528,2139,mother
529,2140,father
530,2140,mother
531,2141,father
532,2141,mother
533,2142,father
534,2142,mother
535,2143,father
536,2143,mother
537,2144,father
538,2144,mother
539,2145,father
540,2145,mother
541,2146,father
542,2146,mother
543,2147,father
544,2147,mother
545,2148,father
546,2148,mother
547,2149,father
548,2149,mother
549,2150,father
550,2150,mother
551,2151,father
552,2151,mother
553,2152,father
554,2152,mother
555,2153,father
556,2153,mother
557,2154,father
558,2154,mother
559,2155,father
560,2155,mother
561,2156,father
562,2156,mother
563,2157,father
564,2157,mother
565,2158,father
566,2158,mother
567,2159,father
568,2159,mother
569,2160,father
570,2160,mother
571,2161,father
572,2161,mother
573,2162,father
574,2162,mother
575,2163,father
576,2163,mother
577,2164,father
578,2164,mother
579,2165,father
580,2165,mother
581,2166,father
582,2166,mother
583,2167,father
584,2167,mother
585,2168,father
586,2168,mother
587,2169,father
588,2169,mother
589,2170,father
590,2170,mother
591,2171,father
592,2171,mother
593,2172,father
594,2172,mother
595,2173,father
596,2173,mother
597,2174,father
598,2174,mother
599,2175,father
600,2175,mother
601,2176,father
602,2176,mother
603,2177,father
604,2177,mother
605,2178,father
606,2178,mother
607,2179,father
608,2179,mother
609,2180,father
610,2180,mother
611,2181,father
612,2181,mother
613,2182,father
614,2182,mother
615,2183,father
616,2183,mother
617,2184,father
618,2184,mother
619,2185,father
620,2185,mother
621,2186,father
622,2186,mother
623,2187,father
624,2187,mother
625,2188,father
626,2188,mother
627,2189,father
628,2189,mother
629,2190,father
630,2190,mother
631,2191,father
632,2191,mother
633,2192,father
634,2192,mother
635,2193,father
636,2193,mother
637,2194,father
638,2194,mother
639,2195,father
640,2195,mother
641,2196,father
642,2196,mother
643,2197,father
644,2197,mother
645,2198,father
646,2198,mother
647,2199,father
648,2199,mother
649,2200,father
650,2200,mother
651,2201,father
652,2201,mother
653,2202,father
654,2202,mother
655,2203,father
656,2203,mother
657,2204,father
658,2204,mother
659,2205,father
660,2205,mother
661,2206,father
662,2206,mother
663,2207,father
664,2207,mother
665,2208,father
666,2208,mother
667,2209,father
668,2209,mother
669,2210,father
670,2210,mother
671,2211,father
672,2211,mother
673,2212,father
674,2212,mother
675,2213,father
676,2213,mother
677,2214,father
678,2214,mother
679,2215,father
680,2215,mother
681,2216,father
682,2216,mother
683,2217,father
684,2217,mother
685,2218,father
686,2218,mother
687,2219,father
688,2219,mother
689,2220,father
690,2220,mother
691,2221,father
692,2221,mother
693,2222,father
694,2222,mother
695,2223,father
696,2223,mother
697,2224,father
698,2224,mother
699,2225,father
700,2225,mother
701,2226,father
702,2226,mother
703,2227,father
704,2227,mother
705,2228,father
706,2228,mother
707,2229,father
708,2229,mother
709,2230,father
710,2230,mother
711,2231,father
712,2231,mother
713,2232,father
714,2232,mother
715,2233,father
716,2233,mother
717,2234,father
718,2234,mother
719,2235,father
720,2235,mother
721,2236,father
722,2236,mother
723,2237,father
724,2237,mother
725,2238,father
726,2238,mother
727,2239,father
728,2239,mother
729,2240,father
730,2240,mother
731,2241,father
732,2241,mother
733,2242,father
734,2242,mother
735,2243,father
736,2243,mother
737,2244,father
738,2244,mother
739,2245,father
740,2245,mother
741,2246,father
742,2246,mother
743,2247,father
744,2247,mother
745,2248,father
746,2248,mother
747,2249,father
748,2249,mother
749,2250,father
750,2250,mother
751,2251,father
752,2251,mother
753,2252,father
754,2252,mother
755,2253,father
756,2253,mother
757,2254,father
758,2254,mother
759,2255,father
760,2255,mother
761,2256,father
762,2256,mother
763,2257,father
764,2257,mother
765,2258,father
766,2258,mother
767,2259,father
768,2259,mother
769,2260,father
770,2260,mother
771,2261,father
772,2261,mother
773,2262,father
774,2262,mother
775,2263,father
776,2263,mother
777,2264,father
778,2264,mother
779,2265,father
780,2265,mother
781,2266,father
782,2266,mother
783,2267,father
784,2267,mother
785,2268,father
786,2268,mother
787,2269,father
788,2269,mother
789,2270,father
790,2270,mother
791,2271,father
792,2271,mother
793,2272,father
794,2272,mother
795,2273,father
796,2273,mother
797,2274,father
798,2274,mother
799,2275,father
800,2275,mother
801,2276,father
802,2276,mother
803,2277,father
804,2277,mother
805,2278,father
806,2278,mother
807,2279,father
808,2279,mother
809,2280,father
810,2280,mother
811,2281,father
812,2281,mother
813,2282,father
814,2282,mother
815,2283,father
816,2283,mother
817,2284,father
818,2284,mother
819,2285,father
820,2285,mother
821,2286,father
822,2286,mother
823,2287,father
824,2287,mother
825,2288,father
826,2288,mother
827,2289,father
828,2289,mother
829,2290,father
830,2290,mother
831,2291,father
832,2291,mother
833,2292,father
834,2292,mother
835,2293,father
836,2293,mother
837,2294,father
838,2294,mother
839,2295,father
840,2295,mother
841,2296,father
842,2296,mother
843,2297,father
844,2297,mother
845,2298,father
846,2298,mother
847,2299,father
848,2299,mother
849,2300,father
850,2300,mother
851,2301,father
852,2301,mother
853,2302,father
854,2302,mother
855,2303,father
856,2303,mother
857,2304,father
858,2304,mother
859,2305,father
860,2305,mother
861,2306,father
862,2306,mother
863,2307,father
864,2307,mother
865,2308,father
866,2308,mother
867,2309,father
868,2309,mother
869,2310,father
870,2310,mother
871,2311,father
872,2311,mother
873,2312,father
874,2312,mother
875,2313,father
876,2313,mother
877,2314,father
878,2314,mother
879,2315,father
880,2315,mother
881,2316,father
882,2316,mother
883,2317,father
884,2317,mother
885,2318,father
886,2318,mother
887,2319,father
888,2319,mother
889,2320,father
890,2320,mother
891,2321,father
892,2321,mother
893,2322,father
894,2322,mother
895,2323,father
896,2323,mother
897,2324,father
898,2324,mother
899,2325,father
900,2325,mother
901,2326,father
902,2326,mother
903,2327,father
904,2327,mother
905,2328,father
906,2328,mother
907,2329,father
908,2329,mother
909,2330,father
910,2330,mother
911,2331,father
912,2331,mother
913,2332,father
914,2332,mother
915,2333,father
916,2333,mother
917,2334,father
918,2334,mother
919,2335,father
920,2335,mother
921,2336,father
922,2336,mother
923,2337,father
924,2337,mother
925,2338,father
926,2338,mother
927,2339,father
928,2339,mother
929,2340,father
930,2340,mother
931,2341,father
932,2341,mother
933,2342,father
934,2342,mother
935,2343,father
936,2343,mother
937,2344,father
938,2344,mother
939,2345,father
940,2345,mother
941,2346,father
942,2346,mother
943,2347,father
944,2347,mother
945,2348,father
946,2348,mother
947,2349,father
948,2349,mother
949,2350,father
950,2350,mother
951,2351,father
952,2351,mother
953,2352,father
954,2352,mother
955,2353,father
956,2353,mother
957,2354,father
958,2354,mother
959,2355,father
960,2355,mother
961,2356,father
962,2356,mother
963,2357,father
964,2357,mother
965,2358,father
966,2358,mother
967,2359,father
968,2359,mother
969,2360,father
970,2360,mother
971,2361,father
972,2361,mother
973,2362,father
974,2362,mother
975,2363,father
976,2363,mother
977,2364,father
978,2364,mother
979,2365,father
980,2365,mother
981,2366,father
982,2366,mother
983,2367,father
984,2367,mother
985,2368,father
986,2368,mother
987,2369,father
988,2369,mother
989,2370,father
990,2370,mother
991,2371,father
992,2371,mother
993,2372,father
994,2372,mother
995,2373,father
996,2373,mother
997,2374,father
998,2374,mother
999,2375,father
1000,2375,mother
1001,2376,father
1002,2376,mother
1003,2377,father
1004,2377,mother
1005,2378,father
1006,2378,mother
1007,2379,father
1008,2379,mother
1009,2380,father
1010,2380,mother
1011,2381,father
1012,2381,mother
1013,2382,father
1014,2382,mother
1015,2383,father
1016,2383,mother
1017,2384,father
1018,2384,mother
1019,2385,father
1020,2385,mother
1021,2386,father
1022,2386,mother
1023,2387,father
1024,2387,mother
1025,2388,father
1026,2388,mother
1027,2389,father
1028,2389,mother
1029,2390,father
1030,2390,mother
1031,2391,father
1032,2391,mother
1033,2392,father
1034,2392,mother
1035,2393,father
1036,2393,mother
1037,2394,father
1038,2394,mother
1039,2395,father
1040,2395,mother
1041,2396,father
1042,2396,mother
1043,2397,father
1044,2397,mother
1045,2398,father
1046,2398,mother
1047,2399,father
1048,2399,mother
1049,2400,father
1050,2400,mother
1051,2401,father
1052,2401,mother
1053,2402,father
1054,2402,mother
1055,2403,father
1056,2403,mother
1057,2404,father
1058,2404,mother
1059,2405,father
1060,2405,mother
1061,2406,father
1062,2406,mother
1063,2407,father
1064,2407,mother
1065,2408,father
1066,2408,mother
1067,2409,father
1068,2409,mother
1069,2410,father
1070,2410,mother
1071,2411,father
1072,2411,mother
1073,2412,father
1074,2412,mother
1075,2413,father
1076,2413,mother
1077,2414,father
1078,2414,mother
1079,2415,father
1080,2415,mother
1081,2416,father
1082,2416,mother
1083,2417,father
1084,2417,mother
1085,2418,father
1086,2418,mother
1087,2419,father
1088,2419,mother
1089,2420,father
1090,2420,mother
1091,2421,father
1092,2421,mother
1093,2422,father
1094,2422,mother
1095,2423,father
1096,2423,mother
1097,2424,father
1098,2424,mother
1099,2425,father
1100,2425,mother
1101,2426,father
1102,2426,mother
1103,2427,father
1104,2427,mother
1105,2428,father
1106,2428,mother
1107,2429,father
1108,2429,mother
1109,2430,father
1110,2430,mother
1111,2431,father
1112,2431,mother
1113,2432,father
1114,2432,mother
1115,2433,father
1116,2433,mother
1117,2434,father
1118,2434,mother
1119,2435,father
1120,2435,mother
1121,2436,father
1122,2436,mother
1123,2437,father
1124,2437,mother
1125,2438,father
1126,2438,mother
1127,2439,father
1128,2439,mother
1129,2440,father
1130,2440,mother
1131,2441,father
1132,2441,mother
1133,2442,father
1134,2442,mother
1135,2443,father
1136,2443,mother
1137,2444,father
1138,2444,mother
1139,2445,father
1140,2445,mother
1141,2446,father
1142,2446,mother
1143,2447,father
1144,2447,mother
1145,2448,father
1146,2448,mother
1147,2449,father
1148,2449,mother
1149,2450,father
1150,2450,mother
1151,2451,father
1152,2451,mother
1153,2452,father
1154,2452,mother
1155,2453,father
1156,2453,mother
1157,2454,father
1158,2454,mother
1159,2455,father
1160,2455,mother
1161,2456,father
1162,2456,mother
1163,2457,father
1164,2457,mother
1165,2458,father
1166,2458,mother
1167,2459,father
1168,2459,mother
1169,2460,father
1170,2460,mother
1171,2461,father
1172,2461,mother
1173,2462,father
1174,2462,mother
1175,2463,father
1176,2463,mother
1177,2464,father
1178,2464,mother
1179,2465,father
1180,2465,mother
1181,2466,father
1182,2466,mother
1183,2467,father
1184,2467,mother
1185,2468,father
1186,2468,mother
1187,2469,father
1188,2469,mother
1189,2470,father
1190,2470,mother
1191,2471,father
1192,2471,mother
1193,2472,father
1194,2472,mother
1195,2473,father
1196,2473,mother
1197,2474,father
1198,2474,mother
1199,2475,father
1200,2475,mother
1201,2476,father
1202,2476,mother
1203,2477,father
1204,2477,mother
1205,2478,father
1206,2478,mother
1207,2479,father
1208,2479,mother
1209,2480,father
1210,2480,mother
1211,2481,father
1212,2481,mother
1213,2482,father
1214,2482,mother
1215,2483,father
1216,2483,mother
1217,2484,father
1218,2484,mother
1219,2485,father
1220,2485,mother
1221,2486,father
1222,2486,mother
1223,2487,father
1224,2487,mother
1225,2488,father
1226,2488,mother
1227,2489,father
1228,2489,mother
1229,2490,father
1230,2490,mother
1231,2491,father
1232,2491,mother
1233,2492,father
1234,2492,mother
1235,2493,father
1236,2493,mother
1237,2494,father
1238,2494,mother
1239,2495,father
1240,2495,mother
1241,2496,father
1242,2496,mother
1243,2497,father
1244,2497,mother
1245,2498,father
1246,2498,mother
1247,2499,father
1248,2499,mother
1249,2500,father
1250,2500,mother
1251,2501,father
1252,2501,mother
1253,2502,father
1254,2502,mother
1255,2503,father
1256,2503,mother
1257,2504,father
1258,2504,mother
1259,2505,father
1260,2505,mother
1261,2506,father
1262,2506,mother
1263,2507,father
1264,2507,mother
1265,2508,father
1266,2508,mother
1267,2509,father
1268,2509,mother
1269,2510,father
1270,2510,mother
1271,2511,father
1272,2511,mother
1273,2512,father
1274,2512,mother
1275,2513,father
1276,2513,mother
1277,2514,father
1278,2514,mother
1279,2515,father
1280,2515,mother
1281,2516,father
1282,2516,mother
1283,2517,father
1284,2517,mother
1285,2518,father
1286,2518,mother
1287,2519,father
1288,2519,mother
1289,2520,father
1290,2520,mother
1291,2521,father
1292,2521,mother
1293,2522,father
1294,2522,mother
1295,2523,father
1296,2523,mother
1297,2524,father
1298,2524,mother
1299,2525,father
1300,2525,mother
1301,2526,father
1302,2526,mother
1303,2527,father
1304,2527,mother
1305,2528,father
1306,2528,mother
1307,2529,father
1308,2529,mother
1309,2530,father
1310,2530,mother
1311,2531,father
1312,2531,mother
1313,2532,father
1314,2532,mother
1315,2533,father
1316,2533,mother
1317,2534,father
1318,2534,mother
1319,2535,father
1320,2535,mother
1321,2536,father
1322,2536,mother
1323,2537,father
1324,2537,mother
1325,2538,father
1326,2538,mother
1327,2539,father
1328,2539,mother
1329,2540,father
1330,2540,mother
1331,2541,father
1332,2541,mother
1333,2542,father
1334,2542,mother
1335,2543,father
1336,2543,mother
1337,2544,father
1338,2544,mother
1339,2545,father
1340,2545,mother
1341,2546,father
1342,2546,mother
1343,2547,father
1344,2547,mother
1345,2548,father
1346,2548,mother
1347,2549,father
1348,2549,mother
1349,2550,father
1350,2550,mother
1351,2551,father
1352,2551,mother
1353,2552,father
1354,2552,mother
1355,2553,father
1356,2553,mother
1357,2554,father
1358,2554,mother
1359,2555,father
1360,2555,mother
1361,2556,father
1362,2556,mother
1363,2557,father
1364,2557,mother
1365,2558,father
1366,2558,mother
1367,2559,father
1368,2559,mother
1369,2560,father
1370,2560,mother
1371,2561,father
1372,2561,mother
1373,2562,father
1374,2562,mother
1375,2563,father
1376,2563,mother
1377,2564,father
1378,2564,mother
1379,2565,father
1380,2565,mother
1381,2566,father
1382,2566,mother
1383,2567,father
1384,2567,mother
1385,2568,father
1386,2568,mother
1387,2569,father
1388,2569,mother
1389,2570,father
1390,2570,mother
1391,2571,father
1392,2571,mother
1393,2572,father
1394,2572,mother
1395,2573,father
1396,2573,mother
1397,2574,father
1398,2574,mother
1399,2575,father
1400,2575,mother
1401,2576,father
1402,2576,mother
1403,2577,father
1404,2577,mother
1405,2578,father
1406,2578,mother
1407,2579,father
1408,2579,mother
1409,2580,father
1410,2580,mother
1411,2581,father
1412,2581,mother
1413,2582,father
1414,2582,mother
1415,2583,father
1416,2583,mother
1417,2584,father
1418,2584,mother
1419,2585,father
1420,2585,mother
1421,2586,father
1422,2586,mother
1423,2587,father
1424,2587,mother
1425,2588,father
1426,2588,mother
1427,2589,father
1428,2589,mother
1429,2590,father
1430,2590,mother
1431,2591,father
1432,2591,mother
1433,2592,father
1434,2592,mother
1435,2593,father
1436,2593,mother
1437,2594,father
1438,2594,mother
1439,2595,father
1440,2595,mother
1441,2596,father
1442,2596,mother
1443,2597,father
1444,2597,mother
1445,2598,father
1446,2598,mother
1447,2599,father
1448,2599,mother
1449,2600,father
1450,2600,mother
1451,2601,father
1452,2601,mother
1453,2602,father
1454,2602,mother
1455,2603,father
1456,2603,mother
1457,2604,father
1458,2604,mother
1459,2605,father
1460,2605,mother
1461,2606,father
1462,2606,mother
1463,2607,father
1464,2607,mother
1465,2608,father
1466,2608,mother
1467,2609,father
1468,2609,mother
1469,2610,father
1470,2610,mother
1471,2611,father
1472,2611,mother
1473,2612,father
1474,2612,mother
1475,2613,father
1476,2613,mother
1477,2614,father
1478,2614,mother
1479,2615,father
1480,2615,mother
1481,2616,father
1482,2616,mother
1483,2617,father
1484,2617,mother
1485,2618,father
1486,2618,mother
1487,2619,father
1488,2619,mother
1489,2620,father
1490,2620,mother
1491,2621,father
1492,2621,mother
1493,2622,father
1494,2622,mother
1495,2623,father
1496,2623,mother
1497,2624,father
1498,2624,mother
1499,2625,father
1500,2625,mother
1501,2626,father
1502,2626,mother
1503,2627,father
1504,2627,mother
1505,2628,father
1506,2628,mother
1507,2629,father
1508,2629,mother
1509,2630,father
1510,2630,mother
1511,2631,father
1512,2631,mother
1513,2632,father
1514,2632,mother
1515,2633,father
1516,2633,mother
1517,2634,father
1518,2634,mother
1519,2635,father
1520,2635,mother
1521,2636,father
1522,2636,mother
1523,2637,father
1524,2637,mother
1525,2638,father
1526,2638,mother
1527,2639,father
1528,2639,mother
1529,2640,father
1530,2640,mother
1531,2641,father
1532,2641,mother
1533,2642,father
1534,2642,mother
1535,2643,father
1536,2643,mother
1537,2644,father
1538,2644,mother
1539,2645,father
1540,2645,mother
1541,2646,father
1542,2646,mother
1543,2647,father
1544,2647,mother
1545,2648,father
1546,2648,mother
1547,2649,father
1548,2649,mother
1549,2650,father
1550,2650,mother
1551,2651,father
1552,2651,mother
1553,2652,father
1554,2652,mother
1555,2653,father
1556,2653,mother
1557,2654,father
1558,2654,mother
1559,2655,father
1560,2655,mother
1561,2656,father
1562,2656,mother
1563,2657,father
1564,2657,mother
1565,2658,father
1566,2658,mother
1567,2659,father
1568,2659,mother
1569,2660,father
1570,2660,mother
1571,2661,father
1572,2661,mother
1573,2662,father
1574,2662,mother
1575,2663,father
1576,2663,mother
1577,2664,father
1578,2664,mother
1579,2665,father
1580,2665,mother
1581,2666,father
1582,2666,mother
1583,2667,father
1584,2667,mother
1585,2668,father
1586,2668,mother
1587,2669,father
1588,2669,mother
1589,2670,father
1590,2670,mother
1591,2671,father
1592,2671,mother
1593,2672,father
1594,2672,mother
1595,2673,father
1596,2673,mother
1597,2674,father
1598,2674,mother
1599,2675,father
1600,2675,mother
1601,2676,father
1602,2676,mother
1603,2677,father
1604,2677,mother
1605,2678,father
1606,2678,mother
1607,2679,father
1608,2679,mother
1609,2680,father
1610,2680,mother
1611,2681,father
1612,2681,mother
1613,2682,father
1614,2682,mother
1615,2683,father
1616,2683,mother
1617,2684,father
1618,2684,mother
1619,2685,father
1620,2685,mother
1621,2686,father
1622,2686,mother
1623,2687,father
1624,2687,mother
1625,2688,father
1626,2688,mother
1627,2689,father
1628,2689,mother
1629,2690,father
1630,2690,mother
1631,2691,father
1632,2691,mother
1633,2692,father
1634,2692,mother
1635,2693,father
1636,2693,mother
1637,2694,father
1638,2694,mother
1639,2695,father
1640,2695,mother
1641,2696,father
1642,2696,mother
1643,2697,father
1644,2697,mother
1645,2698,father
1646,2698,mother
1647,2699,father
1648,2699,mother
1649,2700,father
1650,2700,mother
1651,2701,father
1652,2701,mother
1653,2702,father
1654,2702,mother
1655,2703,father
1656,2703,mother
1657,2704,father
1658,2704,mother
1659,2705,father
1660,2705,mother
1661,2706,father
1662,2706,mother
1663,2707,father
1664,2707,mother
1665,2708,father
1666,2708,mother
1667,2709,father
1668,2709,mother
1669,2710,father
1670,2710,mother
1671,2711,father
1672,2711,mother
1673,2712,father
1674,2712,mother
1675,2713,father
1676,2713,mother
1677,2714,father
1678,2714,mother
1679,2715,father
1680,2715,mother
1681,2716,father
1682,2716,mother
1683,2717,father
1684,2717,mother
1685,2718,father
1686,2718,mother
1687,2719,father
1688,2719,mother
1689,2720,father
1690,2720,mother
1691,2721,father
1692,2721,mother
1693,2722,father
1694,2722,mother
1695,2723,father
1696,2723,mother
1697,2724,father
1698,2724,mother
1699,2725,father
1700,2725,mother
1701,2726,father
1702,2726,mother
1703,2727,father
1704,2727,mother
1705,2728,father
1706,2728,mother
1707,2729,father
1708,2729,mother
1709,2730,father
1710,2730,mother
1711,2731,father
1712,2731,mother
1713,2732,father
1714,2732,mother
1715,2733,father
1716,2733,mother
1717,2734,father
1718,2734,mother
1719,2735,father
1720,2735,mother
1721,2736,father
1722,2736,mother
1723,2737,father
1724,2737,mother
1725,2738,father
1726,2738,mother
1727,2739,father
1728,2739,mother
1729,2740,father
1730,2740,mother
1731,2741,father
1732,2741,mother
1733,2742,father
1734,2742,mother
1735,2743,father
1736,2743,mother
1737,2744,father
1738,2744,mother
1739,2745,father
1740,2745,mother
1741,2746,father
1742,2746,mother
1743,2747,father
1744,2747,mother
1745,2748,father
1746,2748,mother
1747,2749,father
1748,2749,mother
1749,2750,father
1750,2750,mother
1751,2751,father
1752,2751,mother
1753,2752,father
1754,2752,mother
1755,2753,father
1756,2753,mother
1757,2754,father
1758,2754,mother
1759,2755,father
1760,2755,mother
1761,2756,father
